Section	Time MS	Count	Min MS	Max MS	Average MS
find_structure	0	0	0	0	0.0
structure_start	23249	17991	0	2617	1.2922572397309766
structure_spread	1541	10738	0	32	0.14350903333954182
biomes	7131	10738	0	553	0.6640901471409946
terrain	29722	10735	1	103	2.768700512342804
surface	11558	10730	0	228	1.0771668219944082
carving	439	21458	0	62	0.020458570230217167
decoration	264419	9837	9	773	26.88004472908407
mob_spawns	1801	8944	0	201	0.20136404293381038
Sum									33.04759109679682
