Section	Time MS	Count	Min MS	Max MS	Average MS
find_structure	0	0	0	0	0.0
structure_start	6990	8679	0	936	0.8053923263048738
structure_spread	561	4893	0	1	0.11465358675659104
biomes	2680	4893	0	323	0.5477212344165134
terrain	16460	4893	1	40	3.3639893725730636
surface	5356	4893	0	34	1.0946249744533005
carving	140	9786	0	3	0.01430615164520744
decoration	116459	4451	10	103	26.16468209391148
mob_spawns	245	4007	0	22	0.06114299975043674
Sum									32.166512739811466
